"NPI","Provider Other Organization Name","Provider Other Organization Name Type Code"
"1225644537","Sudan Medical Clinic - Muleshoe Location","3"
"1255365375","Texas Tech UHSC Psychiatry","3"
"1265462881","Eye Surgery Center of Wooster","3"
"1275641656","Hannaford Supermarket & Pharmacy","3"
"1295005445","MaxServe Hospice","3"
"1306546767","Nurse Next Door Galveston Pasadena","3"
"1316481427","Trotwood Dialysis","3"
"1336130848","Trinity Health EMS","3"
"1336130848","PRO-MED","5"
"1336130848","Professional Med Team","5"
"1366631848","Kethley Physical Therapy","3"
"1376545640","Canyon Home Care & Hospice","3"
"1376545640","Rehabilitation and Visiting Nurse Association","4"
"1376545640","Canyon Colorado Home Care & Hospice LLC","5"
"1417168220","ARC","5"
"1457314544","MACPHERSON'S Medical Supply","3"
"1467152827","Medical Service Companies","3"
"1467167445","Relieve - Pain and Spine Center","3"
"1467906842","Behavior Development Group","3"
"1467906842","InBloom Autism Services","3"
"1477253839","Medical Service Companies","3"
"1487354841","Puerto Rico Multiple Sclerosis Center LLC","4"
"1578965307","Hannaford Supermarket & Pharmacy #8438","3"
"1609576073","Mettle Works Behavioral Health","3"
"1619541653","Lower Lights Hope Resource Center","5"
"1619638814","Center For Cosmetic And Sedation Dentistry","3"
"1659070597","ACCESSRx SPECIALTY PHARMACY","3"
"1669186516","One Touch Behavioral Change","3"
"1669682282","Berglund Health & Wellness Center","3"
"1679841134","TTUHSC Physical Rehabilitation Specialty Program","3"
"1720796600","Bliss Pediatric Dentistry","3"
"1730794934","Mettle Works Behavioral Health","3"
"1790714913","Marlton Nephrology & Hypertension, LLC","5"
"1790838357","Panhandle Reproductive Research Laboratory","3"
"1871525840","Texa Tech UHSC Internal Medicine","3"
"1952001315","Medical Service Companies","3"
"1972203347","Isaiah 61 Cafe","3"
"1063053411","Norton Children's Pulmonology","3"
"1093415481","mindloft","3"
"1093415481","myndloft","3"
"1093774473","Southeastern Dialysis Center Wilmington","3"
"1134848583","Salt & Light Medical Clinic","3"
"1164443628","Superior Biologics","3"
"1205536695","CHC ADDICTION SERVICES","3"
"1225235807","Lafayette Oral Surgery","3"
"1245799352","Salute Trans","3"
"1295004455","MaxServe Hospice","3"
"1295117232","Powerback Rehabilitation","3"
"1336522929","Powerback Rehabilitation","3"
"1346283520","AFFORDABLE SCRIPT","3"
"1366895922","Drs Todd Giannetti & Ralston EyeCare of Andover, LLC","4"
"1407447790","Powerback Rehabilitation","3"
"1407556889","CenterWell Senior Primary Care- Garden City","3"
"1427018902","Y MEDICAL ASSOCIATES INC","3"
"1427293430","Timberlake Dialysis","3"
"1427758812","Year","5"
"1457932881","Capstone Home Health","3"
"1457932881","Capstone Home Health","5"
"1497722318","Fillmore County Public Health","3"
"1578197158","DCMC Diabetes Education Center","3"
"1578197158","DCP Endocrinology","3"
"1578197158","DCP Primary Care","3"
"1578263968","First Care Pharmacy","3"
"1619601234","Patricia Neal Rehabilitation Hospital","3"
"1639879026","The Nutrition & Herbal Collective","3"
"1639885734","Iowa Falls Chiropractic Clinic","3"
"1649652694","Powerback Rehabilitation","3"
"1659071058","Dentures & More LLC","3"
"1659969665","Omni Medical Transportation","3"
"1689655144","AMMVR GROUP INC","3"
"1689655144","LABORATORIO CLINICO DOMENECH","5"
"1700806577","Century Drugs & Surgical","3"
"1770283152","Birch Tree Therapeutic Arts","3"
"1811379860","Powerback Rehabilitation","3"
"1881608685","CCMH Medical Mall Clinic","3"
"1902256910","Neuhaus Foot & Ankle","3"
"1912303447","OrthoSouth","3"
"1912303447","MSK Group, PC","4"
"1912366329","COXHEALTH CENTER MT.VERNON","3"
"1912607300","Clearway Pain Solutions","3"
"1932615895","INNOVATIVE SENIOR SOLUTIONS","3"
"1992186837","My Texas Ride","3"
"1992827273","CCMH Medical Mall Clinic","3"
"1992827273","Professional Group","5"
"1013643980","Homewatch CareGivers of Long Beach & Torrance","3"
"1013904432","Bartels Lutheran Retirement Community / Woodland Terrace","3"
"1083311302","R&R Van Lift Sales and Service","3"
"1124793104","Transition House Longwood Outpatient","5"
"1255597738","Darin M Minkin DO Inc","3"
"1265132567","Clark Cancer & Lymphedema Therapy","5"
"1326713306","Inspire Counseling and Support Center, Inc","3"
"1356041651","Next Adventure-Pediatric Occupational Therapy","3"
"1427142306","DOWNTOWN PHARMACY","3"
"1437859832","New Jersey Heart and Vein","5"
"1447950845","Midwest Orthopedic Specialty Hospital DME","5"
"1477047058","LATINO MEDICAL CENTER III, INC","3"
"1538529813","COXHEALTH CENTER CRANE","3"
"1538869938","Midwest Orthopedic Specialty Hospital PT","5"
"1548960842","PULSE-MD URGENT CARE","3"
"1558814632","Neuhaus Foot & Ankle","3"
"1588319719","MSPS Surgical Inc.","4"
"1588319719","MIDWEST SPORTS AND PAIN SPECIALISTS, P.C.","5"
"1588878144","JOHNSON CROSBY DAB GIN MILLER &GOLDSTEIN","4"
"1598978553","Kirby Eye Center","3"
"1679273973","UniMed Home Health Agency","5"
"1720195431","Providence Home Health & Hospice","3"
"1720195431","LUTHERAN HOME HOSPICE","5"
"1730855206","Inspire Counseling and Support Center, Inc","3"
"1740980044","Michelle Mason","3"
"1740980044","michelle Renee Cranial Prothesis","3"
"1790145076","CoxHealth Monett","3"
"1861065955","Elahgo Transportation","3"
"1861984353","Inspire Counseling and Support Center","3"
"1871166272","Transition House Starke Residential","5"
"1871534628","HealthPartners Hospice and Palliative Care","3"
"1881026326","CityDME","3"
"1902087174","Eureka Dialysis Center","3"
"1942325907","Willamette Valley Endocrinology","3"
"1952935124","Blueprint Counseling Solutions","3"
"1972203271","Lifetime Medical Health of New York","3"
"1992252829","Olivos","3"
"1023716487","Silver Creek Adult Family Home","3"
"1114365988","Northeast Arkansas Regional Recovery Center","3"
"1144830027","Recovery Journey Services LLC","3"
"1144830027","Recovery Journey Services LLC","4"
"1144841602","Allcare Home Health Agency LLC","3"
"1154021475","Innove Chiro and Rehab, PLLC","4"
"1154028694","Olivos","3"
"1194425413","180 TLC","3"
"1194425793","Northeast Arkansas Regional Recovery Center","3"
"1194425793","NEARRC Outpatient Clinic","5"
"1245416247","Maple Health Care LLC","4"
"1255031589","Cherry Valley Family Dental","3"
"1265889158","Powerback Rehabilitation","3"
"1275299786","Northeast Arkansas Regional Recovery Center","3"
"1316360399","Powerback Rehabilitation","3"
"1326748641","Rooted Therapy","3"
"1336845155","Lifeologie Counseling","3"
"1346389053","Encompass","3"
"1356041677","Ellie Mental Health Avon","3"
"1477635670","Telecare-San Mateo Transitions","3"
"1548915812","JEM Wellness & Counseling Services, PLLC","4"
"1568440253","Powerback Rehabilitation","3"
"1578588406","Galveston County Coordinated Community Clinics","4"
"1588364806","Heartland","3"
"1619939196","LUTHERAN HOME - HOME HEALTH","3"
"1619939196","Providence Home Health & Hospice","3"
"1649693128","Powerback Rehabilitation","3"
"1679273908","Oasis Behavioral Health","3"
"1679643167","Meade County Ambulance","3"
"1699475996","Briones EyeCare Optometry","3"
"1699483537","Seat Transportation","3"
"1710054432","Hughston Clinic Orthopaedics","3"
"1710300173","Powerback Rehabilitation","3"
"1760182083","Heartland","3"
"1790270932","Powerback Rehabilitation","3"
"1801596127","Heartland","3"
"1821092297","Cordant Health Solutions","3"
"1821798141","CenterWell Senior Primary Care-South Laburnum","3"
"1881971505","Beacon Medical Group Cardiothoracic Surgery South Bend","3"
"1922683507","Grace Medical Institute","4"
"1922704022","Publix Pharmacy #1837","3"
"1962659607","Willow Branch Counseling","3"
"1003558057","BAE Cedar Rapids","3"
"1013104389","Tracy Surgery Center, LLC","5"
"1013537034","Coastal Nutrition Counseling","3"
"1043274921","Richmond Community Dialysis","3"
"1043379993","Hood's Pharmacy DBA Traubert's Pharmacy","3"
"1043379993","Traubert's Pharmacy","3"
"1083314330","Nikki's Helping Hand Support Services","3"
"1144920497","CenterWell Senior Primary Care-Hampton","3"
"1194425447","Munson Healthcare Specialty Pharmacy","3"
"1255043493","Eudora Medical Clinic","5"
"1295459907","Home Care","3"
"1326043969","Baltimore Washington Eye Center","3"
"1326043969","Arturo Betancourt MD PA","5"
"1356011217","Green Psychological Services Inc","3"
"1356041610","Mandy Pickett Nutrition","3"
"1356041610","Strong and Balanced Nutrition","3"
"1376268227","Willa Wellness Center","3"
"1396450953","Primemed PLLC","3"
"1396958153","Baltimore Washington Eye Center","3"
"1396958153","Arturo Betancourt MD PA","5"
"1407391493","Always Best Care Senior Services","3"
"1407396062","Milburn Dental","3"
"1407848443","Ochsner Clinic LLC (BR)","3"
"1427758762","Nora B PT","3"
"1477253722","CenterWell Senior Primary Care-Chesapeake","3"
"1497099915","TELECARE SAN JOAQUIN SHORT-TERM CRISIS RESIDENTIAL SERVICES","5"
"1508364175","Oppenheimer Dental and Surgical Group","3"
"1518667856","La Orilla of St Petersburg","3"
"1528768868","JCB Family Health Center","5"
"1568162808","CenterWell Senior Primary Care-Tidewater","3"
"1578263828","Mettle","3"
"1578269221","City of Charleston","5"
"1578663985","Baltimore Washington Eye Center","3"
"1598838104","Baltimore Washington Eye Center","3"
"1609178524","Health Center at Divide","3"
"1619036936","Baltimore Washington Eye Center","3"
"1639714041","Family Health Center at Mitchell High School","3"
"1699145169","EZ Comfort Hospice Care","3"
"1700586047","CenterWell Senior Primary Care-Midlothian","3"
"1700881539","Baltimore Washington Eye Center","3"
"1730653858","ANGEL-PALMS HOME HEALTH CARE","3"
"1730889072","Village at Hillside","3"
"1821685041","Lyon Dental Implants","3"
"1821685041","Lyon Dental Implants and Oral Surgery","3"
"1831690098","Durham Regional Dialysis","3"
"1841990199","CenterWell Senior Primary Care-Brook Rd.","3"
"1881394138","Mettle Works Behavioral Health","3"
"1952026692","Gracepoint Pharmacy","3"
"1962740381","Heath Center at Academy Suite 3500","3"
"1114230331","Old Town Clinic Pharmacy","3"
"1114988227","The Physical Edge","3"
"1124320106","Health Center at Fountain","3"
"1144920406","Mettle Works Behavioral Health","3"
"1205213634","ACTION PHYSICAL THERAPY","3"
"1255031522","ARML Inc","4"
"1265833040","Old Town Clinic AD","5"
"1326355942","McKay Dee Wound and Hyperbaric Center","3"
"1376243642","Quest Ketamine Therapies PLLC","4"
"1376243659","White Hart PMH","3"
"1386344653","GrowthSpace Practice, LLC","3"
"1396411690","Eagle Peak Acupuncture","3"
"1427324466","CCC Recovery Center","5"
"1427563733","Hansen Shelter Clinic","5"
"1437622206","Health Center at Jet Wing","3"
"1437624046","Blackburn Pharmacy","5"
"1437723491","TMS of Austin","3"
"1447950712","Infinity Rehab","3"
"1457069858","Green Valley Therapy, L.L.C.","3"
"1477161545","OHIO PRIMARY CARE","3"
"1497310593","Kaiser Fontana","3"
"1497311211","Telecare Beck Lane","3"
"1497831648","La Casa Psychiatric Health Facility","3"
"1518004290","Solis Benora Mammography","3"
"1558061812","AccessHealth","3"
"1558390492","TAFFI Medical","3"
"1558390492","TAFFI Medical","5"
"1558896266","OTC HCV Pharmacy","5"
"1568881688","Health Center at Limon","3"
"1609084904","Hooper Detoxification & Stabilization Center","5"
"1639420532","Eastside Concern","5"
"1649970906","Essential Care Chiropractic","3"
"1699762617","PROSPECT DRUGS","3"
"1740980002","ProSmile","3"
"1750823670","Healthy Back Chiropractic","3"
"1851091128","Infinity Rehab","3"
"1871293142","Infinity Rehab","3"
"1881394146","Sage Dental of Loganville","3"
"1932674801","Blackburn Center","5"
"1952867509","Confident Living","3"
"1982304267","Jerry R Ellis DDS PC","5"
"1033412796","Health Center at Wahsatch","3"
"1043910326","Niteangale Empathy","5"
"1043987068","dB Hearing","3"
"1083120802","Aspirar Pharmacy","3"
"1083120802","Aspirar Pharmacy of Durham, LLC","3"
"1104850148","Nebraska Laser Eye Surgery Center","3"
"1124270715","PMG NW WA","3"
"1124321880","Pediatric Health Center","3"
"1194276105","Health Center at 340 Printers Parkway","3"
"1235839523","Home Instead","3"
"1265950588","Aspirar Pharmacy","3"
"1285964262","Mobile Health Services Van","3"
"1295435485","AIPF","3"
"1326324633","Central Texas Dental Sleep and Airway","5"
"1346265261","NORTHWEST FOOT AND ANKLE CENTER, PS","3"
"1346940533","TruSmile Now Orthodontics","3"
"1366775306","Beyond Words Speech & Language Services","3"
"1366775306","More Than Words Speech & Language Services","3"
"1396048054","Logan Health Center at Myron Stratton","3"
"1417664715","JT Family Care","3"
"1417664715","JT Family Care","5"
"1437772365","Temporary Site -Springs Rescue Mission","3"
"1467924415","Lindsey Tolman","3"
"1487354775","Dental Kidz Club","3"
"1518176379","Stonehenge","3"
"1518526359","Telecare San Joaquin Connect II","3"
"1548512635","AMHS TAO South FSP","3"
"1548960834","SCV Dental and Wellness Center","3"
"1558883348","Womens Progressive Group","3"
"1568842847","TELECARE MENTAL HEALTH COLLABORATIVE COURT PROGRAM","5"
"1639237456","Iowa Laser Eye","3"
"1659674034","Health Center at Myron Stratton","3"
"1689304685","St Croix Hospice Plymouth","3"
"1689304685","St. Croix Hospice Plymouth","3"
"1720012750","Nebraska Laser Eye Associates","3"
"1750081030","Madison Park Pharmacy & Wellness Center","3"
"1841593225","Health Center at Union","3"
"1851693832","Lane Family Health Center","3"
"1851710065","Health Center at Strasburg","3"
"1871293068","Portland Counseling and Anxiety Specialists","3"
"1871293068","The Couples Clinic of Portland","3"
"1902538812","WEST COAST DENTAL ADULT AND CHILDRENS DENTISTRY","3"
"1912515735","The Place","3"
"1932809126","Habakkuks Journey","3"
"1952001141","Assure Diapers","3"
"1972245959","Downtown Health Center","3"
"1043910441","HomeGrown PT","3"
"1053037770","Kion Pediatrics","3"
"1134875321","Welby Health","5"
"1134875321","Welby Health, Inc.","5"
"1184078032","Fallen Timbers Dialysis","3"
"1235839689","Psychological Services Group","3"
"1265469761","Hy-Vee Pharmacy (1295)","3"
"1275233470","Sleep Rx of California","3"
"1295094365","Hy-Vee Pharmacy (1473)","3"
"1295447506","Brian D. Allgood Army Community Hospital","5"
"1316976087","Hy-Vee Pharmacy #1 (1393)","3"
"1366588204","Austin Dental","3"
"1396445508","University Dental PA","3"
"1396445516","Benita Nicole Oliver","3"
"1407556608","Ellison Family Pharmacy","3"
"1548296122","Hy-Vee Pharmacy (1872)","3"
"1558061762","PhoenixFit Physical Therapy","3"
"1609501428","Zion Healing Center Fort Myers","3"
"1669172888","RAMONE DUSHAWN JONES","3"
"1679273098","Lipospa","3"
"1821026915","Hy-Vee Pharmacy (1077)","3"
"1831899046","Reardon Dentistry","3"
"1841990264","Alcyon Psychotherapy and Executive Counseling","3"
"1871293084","The Morgan House Home Health Care Agency, LLC","3"
"1881620060","Hy-Vee Pharmacy (1095)","3"
"1942210489","Hanger Clinic","3"
"1952001166","Journey thru Counseling & Wellness","3"
"1962102160","Green Meadows Dental Connection","3"
"1013617240","Senior Psychological Care of New Mexico, LLC","3"
"1073213203","Enlove Wellness LLC","3"
"1073213294","Grossmont Gardens Memory Care","3"
"1073675138","Kankakee County Dialysis","3"
"1083910871","Allina Health Inver Grove Heights Clinic","3"
"1104122555","Allina Health Chaska Clinic","3"
"1114627346","Rochester Care Pharmacy","3"
"1134782758","Annie Bell Chambers Multi-Service Center","3"
"1144526898","Allina Health West St Paul Clinic","3"
"1144526930","Allina Health Maplewood Clinic","3"
"1154420438","DOD SARATOGA SPRINGS PHARMACY","3"
"1164148789","Jennifer Anible, LMSW, RPT","3"
"1164751285","Desert Senita Pharmacy","3"
"1184350985","Mentally Strong","3"
"1194395467","Russell Medical Center","3"
"1194425322","AppleGate Recovery Mt. Carmel","3"
"1235744459","VALLEYCARE PHARMACY","3"
"1245930486","RootCare Endodontics","3"
"1275233405","AppleGate Recovery Sellinsgrove","3"
"1275999724","Lower Lights Pharmacy","3"
"1316647555","A- Plus Pharmacy","3"
"1326526237","Marshall Sports Medicine","3"
"1326584103","East Evansville Dialysis","3"
"1356687859","Benchmark Physical Therapy","3"
"1396486619","Harbor Health Medical Group","3"
"1447950670","Roswell Family Medicine and Walk-In Clinic","3"
"1508488263","MAXVAX","3"
"1518667732","Life Refocused, Inc.","3"
"1538869763","Valley Pain Center","3"
"1588364715","Scenic View Transportation","3"
"1588905723","AppleGate Recovery Williamsport","3"
"1619677846","A Better You Coaching and Counseling Services","5"
"1619677853","Indian Trail Dental Studio","3"
"1669172805","rxsavers pharmacy & compounding","3"
"1689374811","Senior Psychcare of New Mexico, LLC","3"
"1710687942","Quickcare of Roswell","3"
"1720788953","AppleGate Recovery State College","3"
"1750081113","Medical Service Companies","3"
"1871293019","Client First Residential Services LLC","3"
"1871293019","Daudu A Alghali","5"
"1871630509","John Cangelosi","5"
"1881124790","Next Step Counseling & Education Center","3"
"1902489966","Keystone Home Health","3"
"1952308215","Ashley County Medical Center","3"
"1013203876","Colfax Health Center at Jefferson Center for Mental Health","3"
"1013942150","Texas Tech UHSC Family Medicine","3"
"1023415825","DoD DUMFRIES ePhcy","3"
"1043254774","Northside Pharmacy Nursing Home Division","3"
"1043856305","STRIDE CHC - Independence at Jefferson Center Behavioral Health","3"
"1053794610","Cheboygan Inverness Academy","3"
"1063112225","Centura General Surgery Westminster","5"
"1073752143","Appling Medical Group","3"
"1104828623","Appling Healthcare System","3"
"1104880384","Allina Health Woodbury Pharmacy","3"
"1124378518","Palatka Dialysis","3"
"1124636196","Suncoast Regenerative Medical Clinic LLC","4"
"1124664339","STRIDE CHC - Chambers at Aurora Mental Health Center BH","3"
"1144267972","Northside Somerset Pharmacy","3"
"1194028407","BETHESDA BLDG 19 PHCY","3"
"1205294170","Fitzsimmons Crisis Services Center","5"
"1205294170","MCPN Fitzsimmons Crisis Services Center","5"
"1255570321","South Georgia Medical Associates","3"
"1265132427","Krystal Reyes LLC","3"
"1275961864","Northside New Concord Pharmacy","3"
"1285270496","STRIDE CHC - Asian Pacific Development Center Dental Clinic","3"
"1285688119","Genesis Taylor Pharmacy","3"
"1336852615","Gemini Health&Wellness","3"
"1356567325","Cherokee County Health Dept","3"
"1366728990","BETHESDA KNOLLWOOD PHCY","3"
"1376642496","BELVOIR PX ANNEX PHCY","3"
"1386047629","Cherokee County Health Department","3"
"1417400813","Northside Cambridge Pharmacy","3"
"1457997660","STRIDE CHC - Asian Pacific Development Center Dental Clinc","3"
"1467152611","Little Smiles of Franklin","3"
"1497454532","Brittany Hernandez","3"
"1508487000","STRIDE CHC - Potomac Behavioral Health","3"
"1538304654","Brandi Whitaker, D.C., LLC","3"
"1538869003","MOVING FORWARD COUNSELING SERVICES","3"
"1548203631","Northside Maysville Pharmacy","3"
"1558526418","Estes Street Health Center","5"
"1568707776","STRIDE CHC - Helena","3"
"1598465726","Salina Pharmacy","3"
"1649430174","STRIDE CHC - Potomac","3"
"1649605536","STRIDE CHC - Asian Pacific Development Center","3"
"1689374845","Myers Family Dentistry","3"
"1699012922","The Villages Health","3"
"1699311951","STRIDE CHC - Independence at Jefferson Center Dental Clinic","3"
"1699930651","Jefferson High School Kids and Teens Health Center","5"
"1720227895","Appling Pediatrics","3"
"1740980986","ASCENSION MEDICAL GROUP ST. VINCENT","3"
"1770104275","STRIDE CHC - Potomac Dental Clinic","3"
"1780220996","STRIDE CHC - Chambers at Aurora Mental Health Center Dental Clinic","3"
"1811333842","STRIDE CHC-Elmira Refugee Health Center","3"
"1811944382","Northside New Concord Pharmacy","3"
"1851984314","STRIDE CHC - Mobile Health Unit #1","3"
"1861449043","Genesis Roseville Pharmacy","3"
"1861449043","Northside Roseville Pharmacy","3"
"1871973966","Northside MVHC Pharmacy","3"
"1871973966","MVHC Pharmacy","4"
"1881041440","Thomasina Holloman","4"
"1912069378","BELVOIR NON-FORMULARY PHCY","3"
"1952853772","Wadsworth Bypass","3"
"1962676155","Snapfinger Dialysis","3"
"1982304143","Sunrise Institute","5"
"1992965420","STRIDE CHC-Lakewood Health Center","3"
"1992965420","Lakewood Health Center","5"
"1023778768","Texas Choice Dental","3"
"1073254652","BioSerenity","3"
"1073959821","Chanderbhan Psychological Services PLLC Susan Chanderbhan-Forde","5"
"1104813682","Rocky Ford Clinic","3"
"1144264540","Abbott Northwestern's Neuroscience Institute","3"
"1164829008","Right at Home","3"
"1164971933","Haven Home Care","3"
"1205422060","Quality Living Transitional Housing LLC","3"
"1205422060","Quality Living Transitional Housing LLC","4"
"1316613250","Puzzling Patterns Behavior Therapy and Consultation Services","3"
"1376001818","Miss Lou Dental Creekside","3"
"1396445573","Foundation Inc.","3"
"1407573850","Skycloud Mental Health","3"
"1487354668","Trinity Health IHA Medical Group Endocrinology - Arbor Park","3"
"1528767373","Lake Forest Smiles","3"
"1558997635","Essentia Therapy LLC","4"
"1578868444","BETHESDA REFILL BLDG 19 PHCY","3"
"1588050264","Results Physiotherapy","3"
"1659341451","Eye Designs","3"
"1750081931","White Oak Dentistry","3"
"1851975312","City Ave Eye Care","3"
"1881394351","Nutritionist on the Run","3"
"1932536851","Gardens of Venice","3"
"1962102145","Harmony Health Care","3"
"1013617190","AeroCare","5"
"1023576261","RSA Bro Johns House STRTP","5"
"1093754475","Pediatric Primary Care Center","3"
"1093776338","Kaweah Health Skilled Nursing Center","3"
"1144926338","Town Creek Pharmacy","3"
"1164122248","Melanated Words, LLC","4"
"1184169781","Kaweah Health Cardiology Center","3"
"1194374413","Sequoia Health & Wellness Center","3"
"1245291558","Kaweah Health Dialysis Center","3"
"1245613678","RSA Bro Johns House STRTP","5"
"1245930338","CenterWell Senior Primary Care-Pendelton Pike","3"
"1306546494","Emergency Dental","3"
"1336849413","Farmington Family Dentistry","3"
"1356943450","Circle of Friends ADH Center","3"
"1376566133","Kaweah Health Home Infusion Pharmacy","3"
"1396193546","Pacific Point Home Health & Palliative Care","3"
"1427019736","Kaweah Delta Porterville Dialysis","3"
"1457804726","Beantown Chiropractic & Sports Medicine","3"
"1467152546","Five Dental","3"
"1487898060","Waterbury Pharmacy","3"
"1528768611","CenterWell Senior Primary Care -Eagledale","3"
"1528793478","Stellar Pediatric Urgent Care","3"
"1558061630","Adult Independent Services","3"
"1578263653","Wildflower Mental Health & Wellness","3"
"1588323919","Heart of Love Home Care","3"
"1619091246","Humboldt County Hospital District","5"
"1659071744","CenterWell Senior Primary Care-Irvington","3"
"1659971505","Baptist Health Supportive Care At Home","3"
"1689190357","Clinica Simpatica","3"
"1699899229","HUMBOLDT AMBULANCE","5"
"1699899229","Humboldt County Hospital District","5"
"1710013636","Kaweah Health Employee Pharmacy","3"
"1750081840","Heavenstone Counseling","3"
"1750498010","Humboldt County Hospital District","5"
"1770283855","Reflections Counseling","3"
"1790746378","Kaweah Health Home Health","3"
"1821798901","Stellar Family Dental","3"
"1821798919","Tarra L Ray MALPC LLC","5"
"1881394963","CenterWell Senior Primary Care-New Albany","3"
"1891494688","Waterbury Pharmacy","3"
"1891495982","Med Healthcare","3"
"1891718649","Kaweah Health Hospice","3"
"1891789616","Immaculate Home Health Providers","3"
"1922152784","Humboldt County Hospital District","5"
"1922152784","Humboldt General Hospital Group","5"
"1942260799","Kaweah Health Rehabilitation Hospital","3"
"1942900030","CenterWell Senior Primary Care-Veterans","3"
"1952038929","RSA St Anthonys House STRTP","5"
"1013422526","Civil @ Natale","5"
"1053011163","CenterWell Senior Primary Care-Indy West","3"
"1073149969","Bella Vita Chiropractic","3"
"1114451952","Geaux Dental","3"
"1124230099","Elara Caring","3"
"1124790399","Select Dental GA","3"
"1134753197","Angel Care Provider Services","3"
"1164122263","Comprehensive Steps Inc","3"
"1194425488","Logan Health Genetics & Genomics","3"
"1316647423","Resplendence Therapy & Consulting Services","3"
"1356041461","DJW National Personal Care Home","3"
"1427097716","GENESIS MEDICAL CENTER DAVENPORT","3"
"1508941097","CHI Health Creighton University Medical Center-Bergan Mercy","3"
"1649998022","Psychiatry Treatment Centers","3"
"1710046073","CRH Pain Management","3"
"1740980853","Maan Plastic Surgery","3"
"1770283889","Limahai Massage Therapy","3"
"1780798835","Access Care Physicians of Laredo PA","4"
"1780798835","Flavio Castaneda, MD PA","4"
"1831899939","TC Lifelong Care","3"
"1851360861","Elara Caring","3"
"1871006908","Millerville Dental Group","3"
"1871291203","Brookshire Healthcare Center","3"
"1922091651","Elara Caring","3"
"1922763184","Dentists of Flagstaff","3"
"1013617141","Emerald Services","3"
"1063112183","The Club at Bartow","3"
"1073806220","Connect Hearing, Inc.","3"
"1093321911","Allina Health Urgent Care Greenway","3"
"1104524545","Northside Health Care","3"
"1114533031","Allina Health Urgent Care Buffalo Crossroads","3"
"1124294863","Connect Hearing, Inc.","3"
"1124726567","Canterbury Health Care Facility","3"
"1134115256","Connect Hearing, Inc.","3"
"1134829260","A&A FAMILY HEALTH","3"
"1144513391","Connect Hearing, Inc.","3"
"1144934571","Crescent Behavior Consulting","3"
"1174569628","Elara Caring","3"
"1275709271","Connect Hearing, Inc.","3"
"1275773293","Affiliated Ankle and Foot Surgeons","4"
"1285341537","SPECIALTY REGENERATIVES","3"
"1316160534","the SMART Clinic","3"
"1336748250","Limb Lab","3"
"1346997822","San Jose Dental Clinic","3"
"1366142481","STATEWIDE HOMEHEALTH LLC","3"
"1407264773","Connect Hearing, Inc.","3"
"1437859568","Chariot Transit LLC","3"
"1457393142","HealthDrive Dental Group","3"
"1497492888","Uptown Pharmacy","3"
"1548553704","Connect Hearing, Inc.","3"
"1558851311","Hanul Family Alliance","3"
